category,name,store,cost,quantity,uses_per_purchase,unit_cost
Dairy,Mozzarella Cheese,H-Mart,4.0,1.0,10,0.4
Dairy,Cream Cheese,H-Mart,4.0,1.0,5,0.8
Dairy,Japanese Mayo,H-Mart,8.0,1.0,3,2.67
Dairy,Egg,Whole Foods,3.0,1.0,12,0.25
Meat & Fish,Tobiko (Fish Roe),H-Mart,8.5,1.0,10,0.85
Meat & Fish,Kani (Crab),H-Mart,7.0,1.0,5,1.4
Meat & Fish,Salmon,Yama Seafood,50.0,1.0,20,2.5
Meat & Fish,Akami (Tuna),Yama Seafood,65.0,1.0,20,3.25
Meat & Fish,Hamachi,Yama Seafood,45.0,1.0,20,2.25
Meat & Fish,Scallops,Whole Foods,30.0,1.0,2,15.0
Meat & Fish,Shrimp Tempura,Whole Foods,11.0,1.0,5,2.2
Meat & Fish,oToro (Tuna),Yama Seafood,120.0,1.0,20,6.0
Meat & Fish,Yellow Tail,Hawaii,50.0,1.0,20,2.5
Meat & Fish,Kampanchi,Hawaii,50.0,1.0,20,2.5
Meat & Fish,Chicken,Whole Foods,10.0,1.0,2,5.0
Other (Rolls),Maki Rolls,H-Mart,7.0,1.0,10,0.7
Other (Rolls),Rice,H-Mart,9.0,1.0,5,1.8
Other (Rolls),Tempura Flakes,H-Mart,2.5,1.0,50,0.05
Other (Sauce),Gochujang Pepper Paste,H-Mart,5.0,1.0,10,0.5
Other (Sauce),Hot Pepper Powder,H-Mart,7.0,1.0,25,0.28
Other (Sauce),Sesame Oil,H-Mart,6.0,1.0,25,0.24
Other (Sauce),Tempura Batter (Potato),H-Mart,2.5,1.0,5,0.5
Other (Sauce),Tempura Batter (Rice),H-Mart,2.5,1.0,50,0.05
Other (Sauce),Wasabi,H-Mart,6.0,1.0,25,0.24
Other (Sauce),Eel Sauce,H-Mart,4.5,1.0,20,0.23
Other (Sauce),Sweet Soy Sauce,H-Mart,4.5,1.0,3,1.5
Other (Sauce),Soy Sauce,H-Mart,7.0,1.0,20,0.35
Other (Sauce),Ponzu Sauce,H-Mart,5.0,1.0,10,0.5
Other (Sauce),Dashi,H-Mart,7.0,1.0,25,0.28
Other (Sauce),Mirin,H-Mart,6.0,1.0,50,0.12
Other (Sauce),Sake,H-Mart,10.0,1.0,50,0.2
Other (Sauce),Kambu (Kelp),H-Mart,6.0,1.0,5,1.2
Other (Sauce),Canola Oil,Whole Foods,7.0,1.0,3,2.33
Other (Sauce),Truffle Oil,Whole Foods,20.0,1.0,50,0.4
Vegetables,Pickled Ginger,H-Mart,2.5,1.0,5,0.5
Vegetables,Pickled Daikon,H-Mart,3.0,1.0,5,0.6
Vegetables,Shiso Leaves,H-Mart,4.0,1.0,3,1.33
Vegetables,Chives,Whole Foods,3.0,1.0,10,0.3
Vegetables,Sweet Potato,Whole Foods,1.5,1.0,4,0.38
Vegetables,Cucumber,Whole Foods,2.0,1.0,3,0.67
Vegetables,Lime,Whole Foods,2.0,1.0,3,0.67
Vegetables,Lemon,Whole Foods,0.5,1.0,1,0.5
Vegetables,Lemon Zest,Whole Foods,0.01,1.0,1,0.01
Vegetables,Green Onion,Whole Foods,1.0,1.0,5,0.2
Vegetables,Asparagus,Whole Foods,4.0,1.0,10,0.4
Vegetables,Avocado,Whole Foods,3.0,1.0,2,1.5
Vegetables,Jalapeno,Whole Foods,1.0,1.0,1,1.0
Vegetables,Minced Garlic,Whole Foods,2.0,1.0,15,0.13
Vegetables,Cilantro,Whole Foods,3.0,1.0,10,0.3
Vegetables,Eggs,Whole Foods,12.0,1.0,6,2.0
Vegetables,Onion & Carrots,Whole Foods,5.0,1.0,2,2.5
